City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Flinders,AU,-34.5833,150.8552,85.8,50,100,16.13,light rain
267,Deder,ET,9.3167,41.45,60.24,66,39,2.98,scattered clouds
268,Ribeira Grande,PT,38.5167,-28.7,60.87,73,100,30.09,overcast clouds
269,Iberia,US,29.9502,-91.7507,62.67,94,75,8.05,broken clouds
270,La Ronge,CA,55.1001,-105.2842,2.43,89,100,7.47,overcast clouds
271,Husavik,IS,66.0449,-17.3389,36.3,85,100,10.96,overcast clouds
272,Betare Oya,CM,5.6,14.0833,65.64,40,80,5.01,broken clouds
273,Barguzin,RU,53.6167,109.6167,22.53,87,100,10.31,light snow
274,Saldanha,ZA,-33.0117,17.9442,63.01,88,47,6.98,scattered clouds
275,Black River,JM,18.0264,-77.8487,77.0,83,7,5.64,clear sky
276,Sarakhs,IR,36.5449,61.1577,59.43,25,7,1.97,clear sky
277,San Cristobal,VE,7.7669,-72.225,66.38,93,98,1.1,overcast clouds
278,Anadyr,RU,64.75,177.4833,19.9,92,90,62.01,overcast clouds
279,Khasan,RU,42.4308,130.6434,26.53,39,70,13.11,broken clouds
280,Palmer,US,42.1584,-72.3287,37.15,87,90,1.01,moderate rain
281,Peniche,PT,39.3558,-9.3811,52.36,76,98,17.27,overcast clouds
282,Kodiak,US,57.79,-152.4072,30.56,80,68,9.1,broken clouds
283,Progreso,MX,21.2833,-89.6667,76.1,80,36,8.21,scattered clouds
284,Trairi,BR,-3.2778,-39.2689,81.55,70,99,12.26,overcast clouds
285,Komsomolskiy,UZ,40.4272,71.7189,41.72,38,95,2.3,overcast clouds
286,Termiz,UZ,37.2242,67.2783,50.09,29,40,2.3,scattered clouds
287,Marienburg,PL,54.0359,19.0266,41.95,85,84,15.64,broken clouds
288,Oranjestad,AW,12.524,-70.027,79.92,83,20,3.0,few clouds
289,Chapais,CA,49.7834,-74.8492,6.58,95,100,2.91,overcast clouds
